UNIQUE_ID,LATITUDE,LONGITUDE,SOUNDING_M,STATE_NAME,QUAD_NAME,GEN_LOC_NM,SPECFC_LOC,AREA_CODE,SAMP_DATE1,TO_SMP_DT2,DPTH_N_COR,DPTH_CODE,COR_GRB_CD,BENZNE,2BZTPN,2BZFRN,BIPHENYL,ACNPHTHN,ACNPHTYL,FLUORENE,PHNANTHR,ANTHRACN,PYRENE,FLORNTHN,CHRYSENE,PERYLENE
US00015-3,42.3419444444444,-71.0286111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,10/17/1972,NA,0,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00016,42.3416666666667,-71.0311111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00017,42.3416666666667,-71.0311111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00018,42.3416666666667,-71.0311111111111,NA,MA,NA,Boston Inner Harbor,BIH,1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00019,42.2786111111111,-71.0130555555556,NA,MA,NA,Central Boston Harbor,QUB,3,12/10/1974,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00020,42.2805555555556,-71.0133333333333,NA,MA,NA,Central Boston Harbor,QUB,3,12/10/1974,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00021,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,40,200,92,390,390,200,60
US00022,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,50,240,120,470,470,280,90
US00023,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,36,200,93,400,400,230,70
US00024,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,45,230,110,450,450,260,80
US00025,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,42,240,110,460,460,250,81
US00026,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,48,260,130,460,460,270,86
US00027,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,24,150,62,270,270,160,55
US00028,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,25,150,59,270,280,140,46
US00029,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,28,170,67,310,330,180,53
US00030,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,42,210,89,360,380,220,66
US00031,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,27,180,69,320,340,190,62
US00032,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,31,190,77,350,340,200,66
US00033,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00034,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00035,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00036,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00037,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00038,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00039,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00040,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00041,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00042,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00043,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00044,42.4283333333333,-70.5666666667,NA,MA,NA,Massachusetts Bays,MBDS,5,NA,NA,NA,Surface,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00045,42.44222222222222,-70.96986111111111,NA,MA,Lynn,Massachusetts Bays,Point of Pines,5,NA,NA,152.40000000000001,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00046,42.44277777777778,-70.96930555555555,NA,MA,Lynn,Massachusetts Bays,Point of Pines,5,NA,NA,91.439999999999998,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00047,42.44194444444444,-70.96888888888888,NA,MA,Lynn,Massachusetts Bays,Point of Pines,5,NA,NA,152.40000000000001,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00048,42.44211111111111,-70.96944444444445,NA,MA,Lynn,Massachusetts Bays,Point of Pines,5,NA,NA,152.40000000000001,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00049,42.442361111111104,-70.96766666666667,NA,MA,Lynn,Massachusetts Bays,Point of Pines,5,NA,NA,91.439999999999998,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00050,42.3425,-71.03194444444445,NA,MA,Boston,Boston Inner Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00051,42.3425,-71.02680555555555,NA,MA,Boston,Boston Inner Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00052,42.3425,-71.02055555555556,NA,MA,Boston,Boston Inner Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00053,42.34305555555556,-71.03055555555555,NA,MA,Boston,Boston Inner Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00054,42.344722222222224,-71.02055555555556,NA,MA,Boston,Boston Inner Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00055,42.34583333333333,-70.99833333333333,NA,MA,Boston,Northwest Boston Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00056,42.34736111111111,-70.98972222222223,NA,MA,Boston,Northwest Boston Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00057,42.34905555555556,-70.98013888888889,NA,MA,Boston,Northwest Boston Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00058,42.33361111111111,-70.97333333333333,NA,MA,Boston,Northwest Boston Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00059,42.334583333333335,-70.96708333333333,NA,MA,Boston,Northwest Boston Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00060,42.35861111111111,-71.0373611111111,NA,MA,Boston,Boston Inner Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00061,42.35875,-71.03652777777778,NA,MA,Boston,Boston Inner Harbor,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00062,42.3,-71.0366666666667,NA,MA,BOST,Northwest Boston Harbor,DORCHESTER BAY,2,10/26/1983,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00063,42.3508333333333,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,CRYSTAL COVE MARINA,2,4/17/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00064,42.3508333333333,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,CRYSTAL COVE MARINA,2,4/17/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00066,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00067,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00068,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00069,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00070,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00071,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00072,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00073,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00074,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00075,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00076,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00077,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00078,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00079,42.0541666666667,-70.6333333333333,NA,MA,DUXB,Cape Code Bay,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00083,42.5403333333333,-70.8763333333333,NA,MA,SALE,Massachusetts Bays,BASS RIVER,5,10/21/1986,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00084,42.5403333333333,-70.8763333333333,NA,MA,SALE,Massachusetts Bays,BASS RIVER,5,10/21/1986,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00085,42.5403333333333,-70.8763333333333,NA,MA,SALE,Massachusetts Bays,BASS RIVER,5,10/21/1986,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00089,42.25,-70.8716666666667,NA,MA,WEYM,Southeast Boston Harbor,HINGAM HARBOR,4,4/19/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00090,42.25,-70.8716666666667,NA,MA,WEYM,Southeast Boston Harbor,HINGHAM HARBOR,4,4/19/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00091,42.25,-70.8716666666667,NA,MA,WEYM,Southeast Boston Harbor,HINGHAM HARBOR,4,4/19/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00093,42.55,-70.8716666666667,NA,MA,SALE,Massachusetts Bays,BEVERLY HARBOR,5,9/18/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00094,42.55,-70.8716666666667,NA,MA,SALE,Massachusetts Bays,BEVERLY HARBOR,5,9/18/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00095,42.6166666666667,-70.7166666666667,NA,MA,IPSW,Inland/Rivers,ESSEX RIVER,10,10/23/1985,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00096,42.6166666666667,-70.7166666666667,NA,MA,IPSW,Inland/Rivers,ESSEX RIVER,10,8/23/1985,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00097,42.6166666666667,-70.7166666666667,NA,MA,IPSW,Inland/Rivers,ESSEX RIVER,10,8/23/1985,NA,NA,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00098,42.3866666666667,-71.059,NA,MA,BOST,Boston Inner Harbor,MYSTIC RIVER,1,3/10/1986,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00099,42.3866666666667,-71.059,NA,MA,BOST,Boston Inner Harbor,MYSTIC RIVER,1,3/10/1986,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00100,42.3833333333333,-71.0561666666667,NA,MA,BOST,Boston Inner Harbor,MYSTIC RIVER,1,10/10/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00101,42.3833333333333,-71.0561666666667,NA,MA,BOST,Boston Inner Harbor,MYSTIC RIVER,1,10/10/1985,NA,NA,Unknown,Grab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00102,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00103,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00104,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00105,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00106,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00107,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00108,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00109,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00110,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00111,42.6083333333333,-70.655,NA,MA,GLOU,Massachusetts Bays,SMITH COVE,5,1/1/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00112,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00113,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00114,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00115,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00116,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00117,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00118,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00119,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00120,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTROP HARBOR,2,7/0/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00121,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00122,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00123,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00124,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00125,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00126,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Surface,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00127,42.3666666666667,-70.9833333333333,NA,MA,BOST,Northwest Boston Harbor,WINTHROP HARBOR,2,7/0/1985,NA,NA,Depth,Core,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
