UNIQUE_ID,LATITUDE,LONGITUDE,SOUNDING_M,STATE_NAME,QUAD_NAME,GEN_LOC_NM,SPECFC_LOC,AREA_CODE,SAMP_DATE1,TO_SMP_DT2,DPTH_N_COR,DPTH_CODE,COR_GRB_CD,site,SAMPLE_WT,SAMP_UNITS,Q1_MM,Q2_MED_MM,Q3_MM,GRN_SI_PCT,SPECIFIC_G,GRAVEL_PCT,SAND_PCT,SILT_PCT,CLAY_PCT,FINES_SIL,SED_CLASS,CLASSIF_S,MEDIAN,MEAN,STDEV_SORT,SKEWNESS,KURTOSIS
US00014,42.3416666666667,-71.0244444444444,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00015-1,42.3419444444444,-71.0286111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,10/17/1972,NA,0,Surface,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00015-2,42.3419444444444,-71.0286111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,10/17/1972,NA,0,Surface,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00015-3,42.3419444444444,-71.0286111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,10/17/1972,NA,0,Surface,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00016,42.3416666666667,-71.0311111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00017,42.3416666666667,-71.0311111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00018,42.3416666666667,-71.0311111111111,NA,MA,NA,BOSTON INNER HARBOR,BIH,1,NA,NA,NA,Unknown,Grab,BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00019,42.2786111111111,-71.0130555555556,NA,MA,NA,CENTRAL BOSTON HARBOR,QUB,3,12/10/1974,NA,NA,Unknown,Grab,QUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00020,42.2805555555556,-71.0133333333333,NA,MA,NA,CENTRAL BOSTON HARBOR,QUB,3,12/10/1974,NA,NA,Unknown,Grab,QUB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00021,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00022,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00023,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00024,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00025,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00026,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00027,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00028,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00029,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00030,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00031,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00032,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00033,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,13.06,57.63,29.31,86.94,NA,NA,NA,NA,NA,NA,NA
US00034,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,11.24,58.13,30.63,88.76,NA,NA,NA,NA,NA,NA,NA
US00035,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,11.52,59.75,28.72,88.47,NA,NA,NA,NA,NA,NA,NA
US00036,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,9.06,57.78,33.16,90.94,NA,NA,NA,NA,NA,NA,NA
US00037,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,15.5,55.69,28.81,84.5,NA,NA,NA,NA,NA,NA,NA
US00038,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,8.31,57.95,33.74,91.69,NA,NA,NA,NA,NA,NA,NA
US00039,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,16.16,53.12,30.73,83.85,NA,NA,NA,NA,NA,NA,NA
US00040,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,21.28,52.84,25.88,78.72,NA,NA,NA,NA,NA,NA,NA
US00041,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,8.38,59.4,32.22,91.62,NA,NA,NA,NA,NA,NA,NA
US00042,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,12.76,56.48,30.76,87.24,NA,NA,NA,NA,NA,NA,NA
US00043,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,13.5,51.16,35.34,86.5,NA,NA,NA,NA,NA,NA,NA
US00044,42.4283333333333,-70.5666666667,NA,MA,NA,MASS BAYS,MBDS,5,NA,NA,NA,Surface,Grab,MBDS,NA,NA,NA,NA,NA,NA,NA,0,8.31,57.52,34.16,91.68,NA,NA,NA,NA,NA,NA,NA
US00045,42.44222222222222,-70.96986111111111,NA,MA,Lynn,MASS BAYS,Point of Pines,5,NA,NA,152.40000000000001,Depth,Grab,Point of Pines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00046,42.44277777777778,-70.96930555555555,NA,MA,Lynn,MASS BAYS,Point of Pines,5,NA,NA,91.439999999999998,Depth,Grab,Point of Pines,NA,NA,NA,NA,NA,NA,NA,0.6,90.2,NA,NA,9.4,NA,NA,NA,NA,NA,NA,NA
US00047,42.44194444444444,-70.96888888888888,NA,MA,Lynn,MASS BAYS,Point of Pines,5,NA,NA,152.40000000000001,Depth,Grab,Point of Pines,NA,NA,NA,NA,NA,NA,NA,0.5,83.6,NA,NA,15.1,NA,NA,NA,NA,NA,NA,NA
US00048,42.44211111111111,-70.96944444444445,NA,MA,Lynn,MASS BAYS,Point of Pines,5,NA,NA,152.40000000000001,Depth,Grab,Point of Pines,NA,NA,NA,NA,NA,NA,NA,14.9,63.8,NA,NA,16.4,NA,NA,NA,NA,NA,NA,NA
US00049,42.442361111111104,-70.96766666666667,NA,MA,Lynn,MASS BAYS,Point of Pines,5,NA,NA,91.439999999999998,Depth,Grab,Point of Pines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00050,42.3425,-71.03194444444445,NA,MA,Boston,BOSTON INNER HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Unknown,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00051,42.3425,-71.02680555555555,NA,MA,Boston,BOSTON INNER HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00052,42.3425,-71.02055555555556,NA,MA,Boston,BOSTON INNER HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00053,42.34305555555556,-71.03055555555555,NA,MA,Boston,BOSTON INNER HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00054,42.344722222222224,-71.02055555555556,NA,MA,Boston,BOSTON INNER HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00055,42.34583333333333,-70.99833333333333,NA,MA,Boston,NORTHWEST BOSTON HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00056,42.34736111111111,-70.98972222222223,NA,MA,Boston,NORTHWEST BOSTON HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00057,42.34905555555556,-70.98013888888889,NA,MA,Boston,NORTHWEST BOSTON HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00058,42.33361111111111,-70.97333333333333,NA,MA,Boston,NORTHWEST BOSTON HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00059,42.334583333333335,-70.96708333333333,NA,MA,Boston,NORTHWEST BOSTON HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",2,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00060,42.35861111111111,-71.0373611111111,NA,MA,Boston,BOSTON INNER HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00061,42.35875,-71.03652777777778,NA,MA,Boston,BOSTON INNER HARBOR,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",1,NA,NA,NA,Depth,Grab,"Reserve Channel, Main Shipping Channel, Boston Harbor to the Western shore of Deer Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US00062,42.3,-71.0366666666667,NA,MA,BOST,NORTHWEST BOSTON HARBOR,DORCHESTER BAY,2,10/26/1983,NA,NA,Unknown,Grab,DORCHESTER BAY,NA,NA,NA,NA,NA,NA,NA,0,34.1,33.4,33.5,66.9,NA,NA,NA,NA,NA,NA,NA
US00063,42.3508333333333,-70.9833333333333,NA,MA,BOST,NORTHWEST BOSTON HARBOR,CRYSTAL COVE MARINA,2,4/17/1985,NA,NA,Unknown,Grab,CRYSTAL COVE MARINA,NA,NA,NA,NA,NA,NA,NA,0,3.3,48.3,48.4,96.7,NA,NA,NA,NA,NA,NA,NA
US00064,42.3508333333333,-70.9833333333333,NA,MA,BOST,NORTHWEST BOSTON HARBOR,CRYSTAL COVE MARINA,2,4/17/1985,NA,NA,Unknown,Grab,CRYSTAL COVE MARINA,NA,NA,NA,NA,NA,NA,NA,0,1.9,49.05,49.05,98.1,NA,NA,NA,NA,NA,NA,NA
US00066,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,73,13.5,13.5,27,Black silty fine sand (SM),Visual by laboratory,NA,NA,NA,NA,NA
US00067,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Surface,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,73,13.5,13.5,27,Black silty fine sand (SM),Visual by laboratory,NA,NA,NA,NA,NA
US00068,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,69,15.5,15.5,31,Black organic silty fine sand (SM),Visual by laboratory,NA,NA,NA,NA,NA
US00069,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Surface,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,69,15.5,15.5,31,Black organic silty fine sand (SM),Visual by laboratory,NA,NA,NA,NA,NA
US00070,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,83,8.5,8.5,17,Dark olive grey organic silty sand,Visual by laboratory,NA,NA,NA,NA,NA
US00071,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Surface,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,83,8.5,8.5,17,Dark olive grey organic silty sand,Visual by laboratory,NA,NA,NA,NA,NA
US00072,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,15,42.5,42.5,85,Dark olive grey organic sandy silt (OH),Visual by laboratory,NA,NA,NA,NA,NA
US00073,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Surface,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,15,42.5,42.5,85,Dark olive grey organic sandy silt (OH),Visual by laboratory,NA,NA,NA,NA,NA
US00074,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Depth,Core,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,15,42.5,42.5,85,Dark olive grey organic sandy silt (OH),Visual by laboratory,NA,NA,NA,NA,NA
US00075,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,18,36,36,72,Black organic sandy silt (OH),Visual by laboratory,NA,NA,NA,NA,NA
US00076,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,13,43.5,43.5,87,Dark grey organic sandy clayey silt (OH),Visual by laboratory,NA,NA,NA,NA,NA
US00077,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,7,46.5,46.5,93,Black organic sandy clayey silt (OH),Visual by laboratory,NA,NA,NA,NA,NA
US00078,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,23,33.5,33.5,67,Dark olive grey organic sandy clayey silt (OH),Visual by laboratory,NA,NA,NA,NA,NA
US00079,42.0541666666667,-70.6333333333333,NA,MA,DUXB,CAPE COD BAY,GREEN HARBOR,7,1/1/1984,NA,NA,Unknown,Grab,GREEN HARBOR,NA,NA,NA,NA,NA,NA,NA,0,15,42.5,42.5,85,Black organic sandy clayey silt (OH),Visual by laboratory,NA,NA,NA,NA,NA
US00083,42.5403333333333,-70.8763333333333,NA,MA,SALE,MASS BAYS,BASS RIVER,5,10/21/1986,NA,NA,Unknown,Grab,BASS RIVER,NA,NA,NA,NA,NA,NA,NA,3.51,51.57,22.46,22.46,44.92,NA,NA,NA,NA,NA,NA,NA
US00084,42.5403333333333,-70.8763333333333,NA,MA,SALE,MASS BAYS,BASS RIVER,5,10/21/1986,NA,NA,Unknown,Grab,BASS RIVER,NA,NA,NA,NA,NA,NA,NA,1.86,47.65,25.25,25.24,50.49,NA,NA,NA,NA,NA,NA,NA
US00085,42.5403333333333,-70.8763333333333,NA,MA,SALE,MASS BAYS,BASS RIVER,5,10/21/1986,NA,NA,Unknown,Grab,BASS RIVER,NA,NA,NA,NA,NA,NA,NA,0.29,45.22,27.24,27.25,54.49,NA,NA,NA,NA,NA,NA,NA
US00089,42.25,-70.8716666666667,NA,MA,WEYM,SOUTHEAST BOSTON HARBOR,HINGAM HARBOR,4,4/19/1985,NA,NA,Unknown,Grab,HINGAM HARBOR,NA,NA,NA,NA,NA,NA,NA,0,10,45,45,90,NA,NA,NA,NA,NA,NA,NA
US00090,42.25,-70.8716666666667,NA,MA,WEYM,SOUTHEAST BOSTON HARBOR,HINGHAM HARBOR,4,4/19/1985,NA,NA,Unknown,Grab,HINGHAM HARBOR,NA,NA,NA,NA,NA,NA,NA,0,10,45,45,90,NA,NA,NA,NA,NA,NA,NA
US00091,42.25,-70.8716666666667,NA,MA,WEYM,SOUTHEAST BOSTON HARBOR,HINGHAM HARBOR,4,4/19/1985,NA,NA,Unknown,Grab,HINGHAM HARBOR,NA,NA,NA,NA,NA,NA,NA,0,10,45,45,90,NA,NA,NA,NA,NA,NA,NA
US00093,42.55,-70.8716666666667,NA,MA,SALE,MASS BAYS,BEVERLY HARBOR,5,9/18/1985,NA,NA,Unknown,Grab,BEVERLY HARBOR,NA,NA,NA,NA,NA,NA,NA,0,13,43.5,43.5,87,NA,NA,NA,NA,NA,NA,NA
US00094,42.55,-70.8716666666667,NA,MA,SALE,MASS BAYS,BEVERLY HARBOR,5,9/18/1985,NA,NA,Unknown,Grab,BEVERLY HARBOR,NA,NA,NA,NA,NA,NA,NA,0,81,9.5,9.5,19,NA,NA,NA,NA,NA,NA,NA
US00095,42.6166666666667,-70.7166666666667,NA,MA,IPSW,INLAND / RIVERS,ESSEX RIVER,10,10/23/1985,NA,NA,Unknown,Unknown,ESSEX RIVER,NA,NA,NA,NA,NA,NA,NA,0,85.2,7.4,7.4,14.8,NA,NA,NA,NA,NA,NA,NA
US00096,42.6166666666667,-70.7166666666667,NA,MA,IPSW,INLAND / RIVERS,ESSEX RIVER,10,8/23/1985,NA,NA,Unknown,Unknown,ESSEX RIVER,NA,NA,NA,NA,NA,NA,NA,0,72.5,13.7,13.8,27.5,NA,NA,NA,NA,NA,NA,NA
US00097,42.6166666666667,-70.7166666666667,NA,MA,IPSW,INLAND / RIVERS,ESSEX RIVER,10,8/23/1985,NA,NA,Unknown,Unknown,ESSEX RIVER,NA,NA,NA,NA,NA,NA,NA,0,51.8,24.1,24.1,48.2,NA,NA,NA,NA,NA,NA,NA
US00098,42.3866666666667,-71.059,NA,MA,BOST,BOSTON INNER HARBOR,MYSTIC RIVER,1,3/10/1986,NA,NA,Unknown,Grab,Mystic River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
